,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
0,Friends,1994,2004,13+,22 min,"Comedy,Romance",8.9,"1,003,700",,,,"Stars:Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
1,The Big Bang Theory,2007,2019,U,22 min,"Comedy,Romance",8.2,"814,328",,,,"Stars:Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg"
2,Le fabuleux destin d'Amélie Poulain,2001,2001,U,122 min,"Comedy,Romance",8.3,"760,481",$33.23M,69,Director:Jean-Pierre Jeunet,"Stars:Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta"
3,Silver Linings Playbook,2012,2012,A,122 min,"Comedy,Drama,Romance",7.7,"713,756",$132.09M,81,Director:David O. Russell,"Stars:Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver"
4,La vita è bella,1997,1997,U,116 min,"Comedy,Drama,Romance",8.6,"698,695",$57.60M,59,Director:Roberto Benigni,"Stars:Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
5,How I Met Your Mother,2005,2014,15+,22 min,"Comedy,Romance",8.3,"688,533",,,,"Stars:Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris"
6,Shrek,2001,2001,U,90 min,"Animation,Adventure,Comedy",7.9,"683,867",$267.67M,84,"Directors:Andrew Adamson, Vicky Jenson","Stars:Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
7,Groundhog Day,1993,1993,U,101 min,"Comedy,Drama,Fantasy",8.1,"636,497",$70.91M,72,Director:Harold Ramis,"Stars:Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky"
8,La La Land,2016,2016,A,128 min,"Comedy,Drama,Music",8.0,"595,214",$151.10M,94,Director:Damien Chazelle,"Stars:Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
9,"Crazy, Stupid, Love.",2011,2011,A,118 min,"Comedy,Drama,Romance",7.4,"525,659",$84.35M,68,"Directors:Glenn Ficarra, John Requa","Stars:Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone"
10,(500) Days of Summer,2009,2009,UA,95 min,"Comedy,Drama,Romance",7.7,"521,172",$32.39M,76,Director:Marc Webb,"Stars:Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz"
11,Love Actually,2003,2003,A,135 min,"Comedy,Drama,Romance",7.6,"499,411",$59.70M,55,Director:Richard Curtis,"Stars:Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney"
12,Shrek 2,2004,2004,U,93 min,"Animation,Adventure,Comedy",7.3,"469,465",$436.47M,75,"Directors:Andrew Adamson, Kelly Asbury, Conrad Vernon","Stars:Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews"
13,The Terminal,2004,2004,U,128 min,"Comedy,Drama,Romance",7.4,"464,516",$77.87M,55,Director:Steven Spielberg,"Stars:Tom Hanks, Catherine Zeta-Jones, Chi McBride, Stanley Tucci"
14,Tangled,2010,2010,U,100 min,"Animation,Adventure,Comedy",7.7,"458,756",$200.82M,71,"Directors:Nathan Greno, Byron Howard","Stars:Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman"
15,The 40 Year Old Virgin,2005,2005,UA,116 min,"Comedy,Romance",7.1,"442,711",$109.45M,73,Director:Judd Apatow,"Stars:Steve Carell, Catherine Keener, Paul Rudd, Romany Malco"
16,Modern Family,2009,2020,12+,22 min,"Comedy,Drama,Romance",8.5,"435,845",,,,"Stars:Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell"
17,Scott Pilgrim vs. the World,2010,2010,U,112 min,"Action,Comedy,Fantasy",7.5,"431,238",$31.49M,69,Director:Edgar Wright,"Stars:Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick"
18,Midnight in Paris,2011,2011,PG-13,94 min,"Comedy,Fantasy,Romance",7.7,"428,265",$56.82M,81,Director:Woody Allen,"Stars:Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller"
19,Aladdin,1992,1992,U,90 min,"Animation,Adventure,Comedy",8.0,"424,989",$217.35M,86,"Directors:Ron Clements, John Musker","Stars:Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman"
20,Easy A,2010,2010,A,92 min,"Comedy,Drama,Romance",7.0,"395,101",$58.40M,72,Director:Will Gluck,"Stars:Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd"
21,Friends with Benefits,2011,2011,A,109 min,"Comedy,Romance",6.5,"373,467",$55.80M,63,Director:Will Gluck,"Stars:Mila Kunis, Justin Timberlake, Patricia Clarkson, Jenna Elfman"
22,Knocked Up,2007,2007,18,129 min,"Comedy,Romance",6.9,"372,665",$148.73M,85,Director:Judd Apatow,"Stars:Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann"
23,Yes Man,2008,2008,PG-13,104 min,"Comedy,Romance",6.8,"366,490",$97.69M,46,Director:Peyton Reed,"Stars:Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins"
24,Wedding Crashers,2005,2005,UA,119 min,"Comedy,Romance",7.0,"360,119",$209.22M,64,Director:David Dobkin,"Stars:Owen Wilson, Vince Vaughn, Rachel McAdams, Christopher Walken"
25,50 First Dates,2004,2004,UA,99 min,"Comedy,Drama,Romance",6.8,"359,936",$120.91M,48,Director:Peter Segal,"Stars:Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin"
26,About Time,2013,2013,16,123 min,"Comedy,Drama,Fantasy",7.8,"355,934",$15.32M,55,Director:Richard Curtis,"Stars:Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson"
27,Moonrise Kingdom,2012,2012,A,94 min,"Comedy,Drama,Family",7.8,"353,098",$45.51M,84,Director:Wes Anderson,"Stars:Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray"
28,10 Things I Hate About You,1999,1999,U,97 min,"Comedy,Drama,Romance",7.3,"348,598",$38.18M,70,Director:Gil Junger,"Stars:Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik"
29,Meet the Parents,2000,2000,UA,108 min,"Comedy,Romance",7.0,"339,224",$166.24M,73,Director:Jay Roach,"Stars:Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner"
30,Up in the Air,2009,2009,R,109 min,"Comedy,Drama,Romance",7.4,"338,923",$83.82M,83,Director:Jason Reitman,"Stars:George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman"
31,Thor: Love and Thunder,2022,2022,UA,118 min,"Action,Adventure,Comedy",6.3,"337,555",,57,Director:Taika Waititi,"Stars:Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson"
32,Click,2006,2006,A,107 min,"Comedy,Drama,Fantasy",6.4,"335,911",$137.36M,45,Director:Frank Coraci,"Stars:Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff"
33,The Proposal,2009,2009,A,108 min,"Comedy,Drama,Romance",6.7,"332,996",$163.96M,48,Director:Anne Fletcher,"Stars:Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson"
34,50/50,2011,2011,18,100 min,"Comedy,Drama,Romance",7.6,"332,864",$35.01M,72,Director:Jonathan Levine,"Stars:Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard"
35,Pretty Woman,1990,1990,A,119 min,"Comedy,Romance",7.1,"330,293",$178.41M,51,Director:Garry Marshall,"Stars:Richard Gere, Julia Roberts, Jason Alexander, Laura San Giacomo"
36,WandaVision,2021,2021,12+,350 min,"Action,Comedy,Drama",7.9,"328,270",,,,"Stars:Elizabeth Olsen, Paul Bettany, Kathryn Hahn, Teyonah Parris"
37,The Secret Life of Walter Mitty,2013,2013,UA,114 min,"Adventure,Comedy,Drama",7.3,"321,235",$58.24M,54,Director:Ben Stiller,"Stars:Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn"
38,Hitch,2005,2005,U,118 min,"Comedy,Romance",6.6,"321,035",$179.50M,58,Director:Andy Tennant,"Stars:Will Smith, Eva Mendes, Kevin James, Amber Valletta"
39,Notting Hill,1999,1999,U,124 min,"Comedy,Drama,Romance",7.2,"317,839",$116.09M,68,Director:Roger Michell,"Stars:Hugh Grant, Julia Roberts, Richard McCabe, Rhys Ifans"
40,There's Something About Mary,1998,1998,A,119 min,"Comedy,Romance",7.1,"314,913",$176.48M,69,"Directors:Bobby Farrelly, Peter Farrelly","Stars:Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans"
41,Shrek the Third,2007,2007,U,93 min,"Animation,Adventure,Comedy",6.1,"311,612",$320.71M,58,"Directors:Chris Miller, Raman Hui","Stars:Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas"
42,Pitch Perfect,2012,2012,U,112 min,"Comedy,Music,Romance",7.1,"309,902",$65.00M,66,Director:Jason Moore,"Stars:Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp"
43,As Good as It Gets,1997,1997,A,139 min,"Comedy,Drama,Romance",7.7,"302,248",$148.48M,67,Director:James L. Brooks,"Stars:Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr."
44,The Holiday,2006,2006,UA,136 min,"Comedy,Romance",6.9,"297,298",$63.22M,52,Director:Nancy Meyers,"Stars:Kate Winslet, Cameron Diaz, Jude Law, Jack Black"
45,Bridesmaids,2011,2011,UA 16+,125 min,"Comedy,Romance",6.8,"295,024",$169.11M,75,Director:Paul Feig,"Stars:Kristen Wiig, Maya Rudolph, Rose Byrne, Terry Crews"
46,Forgetting Sarah Marshall,2008,2008,UA,111 min,"Comedy,Drama,Romance",7.1,"288,238",$63.17M,67,Director:Nicholas Stoller,"Stars:Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis"
47,Elf,2003,2003,U,97 min,"Adventure,Comedy,Family",7.1,"284,132",$173.40M,64,Director:Jon Favreau,"Stars:Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel"
48,Grease,1978,1978,A,110 min,"Comedy,Musical,Romance",7.2,"280,934",$188.76M,70,Director:Randal Kleiser,"Stars:John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway"
49,The Graduate,1967,1967,A,106 min,"Comedy,Drama,Romance",8.0,"276,047",$104.95M,83,Director:Mike Nichols,"Stars:Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels"
50,Meet the Fockers,2004,2004,A,115 min,"Comedy,Romance",6.3,"274,485",$279.26M,41,Director:Jay Roach,"Stars:Ben Stiller, Robert De Niro, Blythe Danner, Teri Polo"
51,Jerry Maguire,1996,1996,U,139 min,"Comedy,Drama,Romance",7.3,"270,383",$153.95M,77,Director:Cameron Crowe,"Stars:Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston"
52,Some Like It Hot,1959,1959,U,121 min,"Comedy,Music,Romance",8.2,"269,788",$25.00M,98,Director:Billy Wilder,"Stars:Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft"
53,Aladdin,2019,2019,U,128 min,"Adventure,Comedy,Family",6.9,"269,617",$355.56M,53,Director:Guy Ritchie,"Stars:Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari"
54,Annie Hall,1977,1977,A,93 min,"Comedy,Romance",8.0,"267,620",$39.20M,92,Director:Woody Allen,"Stars:Woody Allen, Diane Keaton, Tony Roberts, Carol Kane"
55,The Little Mermaid,1989,1989,U,83 min,"Animation,Adventure,Comedy",7.6,"267,071",$111.54M,88,"Directors:Ron Clements, John Musker","Stars:Jodi Benson, Samuel E. Wright, Rene Auberjonois, Christopher Daniel Barnes"
56,Two and a Half Men,2003,2015,16+,22 min,"Comedy,Romance",7.1,"266,202",,,,"Stars:Jon Cryer, Ashton Kutcher, Angus T. Jones, Conchata Ferrell"
57,Hotel Transylvania,2012,2012,UA,91 min,"Animation,Adventure,Comedy",7.0,"259,863",$148.31M,47,Director:Genndy Tartakovsky,"Stars:Adam Sandler, Kevin James, Andy Samberg, Selena Gomez"
58,Vicky Cristina Barcelona,2008,2008,A,96 min,"Comedy,Drama,Romance",7.1,"258,611",$23.22M,70,Director:Woody Allen,"Stars:Rebecca Hall, Scarlett Johansson, Javier Bardem, Christopher Evan Welch"
59,Focus,2015,2015,A,105 min,"Comedy,Crime,Drama",6.6,"252,563",$53.86M,56,"Directors:Glenn Ficarra, John Requa","Stars:Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez"
60,Mamma Mia!,2008,2008,A,108 min,"Comedy,Musical,Romance",6.5,"250,287",$144.13M,51,Director:Phyllida Lloyd,"Stars:Meryl Streep, Pierce Brosnan, Amanda Seyfried, Stellan Skarsgård"
61,Just Go with It,2011,2011,UA,117 min,"Comedy,Romance",6.4,"248,153",$103.03M,33,Director:Dennis Dugan,"Stars:Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman"
62,Bridget Jones's Diary,2001,2001,A,97 min,"Comedy,Drama,Romance",6.8,"247,925",$71.54M,66,Director:Sharon Maguire,"Stars:Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones"
63,Singin' in the Rain,1952,1952,G,103 min,"Comedy,Musical,Romance",8.3,"245,044",$8.82M,99,"Directors:Stanley Donen, Gene Kelly","Stars:Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen"
64,How to Lose a Guy in 10 Days,2003,2003,A,116 min,"Comedy,Romance",6.4,"244,883",$105.81M,45,Director:Donald Petrie,"Stars:Kate Hudson, Matthew McConaughey, Adam Goldberg, Kathryn Hahn"
65,Modern Times,1936,1936,,87 min,"Comedy,Drama,Romance",8.5,"244,642",$0.16M,96,Director:Charles Chaplin,"Stars:Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford"
66,The Artist,2011,2011,U,100 min,"Comedy,Drama,Romance",7.9,"242,841",$44.67M,89,Director:Michel Hazanavicius,"Stars:Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell"
67,Don Jon,2013,2013,13,90 min,"Comedy,Drama,Romance",6.5,"241,483",$24.48M,66,Director:Joseph Gordon-Levitt,"Stars:Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza"
68,Hercules,1997,1997,U,93 min,"Animation,Adventure,Comedy",7.3,"235,280",$99.05M,74,"Directors:Ron Clements, John Musker","Stars:Tate Donovan, Susan Egan, James Woods, Barbara Barrie"
69,Warm Bodies,2013,2013,15+,98 min,"Comedy,Horror,Romance",6.8,"233,997",$66.38M,60,Director:Jonathan Levine,"Stars:Nicholas Hoult, Teresa Palmer, John Malkovich, Lio Tipton"
70,No Strings Attached,2011,2011,A,108 min,"Comedy,Romance",6.2,"233,089",$70.66M,50,Director:Ivan Reitman,"Stars:Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes"
71,Stranger Than Fiction,2006,2006,PG-13,113 min,"Comedy,Drama,Fantasy",7.6,"230,676",$40.14M,67,Director:Marc Forster,"Stars:Will Ferrell, Emma Thompson, Dustin Hoffman, Queen Latifah"
72,New Girl,2011,2018,15+,22 min,"Comedy,Romance",7.8,"227,567",,,,"Stars:Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone"
73,The Girl Next Door,2004,2004,A,109 min,"Comedy,Drama,Romance",6.7,"227,437",$14.59M,47,Director:Luke Greenfield,"Stars:Emile Hirsch, Nicholas Downs, Elisha Cuthbert, Timothy Olyphant"
74,Shakespeare in Love,1998,1998,UA,123 min,"Comedy,Drama,History",7.1,"226,981",$100.32M,87,Director:John Madden,"Stars:Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, Tom Wilkinson"
75,Big,1988,1988,U,104 min,"Comedy,Drama,Fantasy",7.3,"224,834",$114.97M,73,Director:Penny Marshall,"Stars:Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard"
76,When Harry Met Sally...,1989,1989,UA,95 min,"Comedy,Drama,Romance",7.7,"224,681",$92.82M,76,Director:Rob Reiner,"Stars:Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby"
77,Clueless,1995,1995,U,97 min,"Comedy,Romance",6.9,"223,016",$56.63M,68,Director:Amy Heckerling,"Stars:Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd"
78,Legally Blonde,2001,2001,U,96 min,"Comedy,Romance",6.4,"222,911",$96.52M,59,Director:Robert Luketic,"Stars:Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis"
79,The Ugly Truth,2009,2009,A,96 min,"Comedy,Romance",6.4,"221,675",$88.92M,28,Director:Robert Luketic,"Stars:Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter"
80,Garden State,2004,2004,R,102 min,"Comedy,Drama,Romance",7.4,"218,112",$26.78M,67,Director:Zach Braff,"Stars:Zach Braff, Peter Sarsgaard, Natalie Portman, Ian Holm"
81,You've Got Mail,1998,1998,U,119 min,"Comedy,Drama,Romance",6.7,"217,456",$115.82M,57,Director:Nora Ephron,"Stars:Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey"
82,Miss Congeniality,2000,2000,A,109 min,"Action,Comedy,Crime",6.3,"214,316",$106.81M,43,Director:Donald Petrie,"Stars:Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen"
83,P.S. I Love You,2007,2007,A,126 min,"Comedy,Drama,Romance",7.0,"212,127",$53.70M,39,Director:Richard LaGravenese,"Stars:Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow"
84,Coming to America,1988,1988,UA,117 min,"Comedy,Romance",7.1,"211,303",$128.15M,47,Director:John Landis,"Stars:Eddie Murphy, Paul Bates, Garcelle Beauvais, Feather"
85,What Women Want,2000,2000,A,127 min,"Comedy,Fantasy,Romance",6.4,"210,777",$182.81M,47,Director:Nancy Meyers,"Stars:Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda"
86,"I Love You, Man",2009,2009,A,105 min,"Comedy,Romance",7.0,"208,959",$71.44M,70,Director:John Hamburg,"Stars:Paul Rudd, Jason Segel, Rashida Jones, Sarah Burns"
87,Shrek Forever After,2010,2010,U,95 min,"Animation,Adventure,Comedy",6.3,"208,817",$238.37M,58,Director:Mike Mitchell,"Stars:Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas"
88,Enchanted,2007,2007,U,107 min,"Animation,Adventure,Comedy",7.1,"207,663",$127.81M,75,Director:Kevin Lima,"Stars:Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey"
89,Love & Other Drugs,2010,2010,UA,112 min,"Comedy,Drama,Romance",6.7,"207,062",$32.37M,55,Director:Edward Zwick,"Stars:Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt"
90,Bad Teacher,2011,2011,A,92 min,"Comedy,Romance",5.6,"205,335",$100.29M,47,Director:Jake Kasdan,"Stars:Cameron Diaz, Jason Segel, Justin Timberlake, Lucy Punch"
91,17 Again,2009,2009,UA,102 min,"Comedy,Drama,Fantasy",6.4,"204,632",$64.17M,48,Director:Burr Steers,"Stars:Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon"
92,The Life Aquatic with Steve Zissou,2004,2004,R,119 min,"Action,Adventure,Comedy",7.2,"199,969",$24.01M,62,Director:Wes Anderson,"Stars:Bill Murray, Owen Wilson, Anjelica Huston, Cate Blanchett"
93,13 Going on 30,2004,2004,UA,98 min,"Comedy,Fantasy,Romance",6.2,"196,385",$57.23M,57,Director:Gary Winick,"Stars:Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis"
94,The End of the F***ing World,2017,2019,18+,25 min,"Adventure,Comedy,Crime",8.1,"194,679",,,,"Stars:Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley"
95,Sideways,2004,2004,R,127 min,"Comedy,Drama,Romance",7.5,"193,749",$71.50M,94,Director:Alexander Payne,"Stars:Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh"
96,Happy Feet,2006,2006,U,108 min,"Animation,Adventure,Comedy",6.4,"189,092",$198.00M,77,"Directors:George Miller, Warren Coleman, Judy Morris","Stars:Elijah Wood, Brittany Murphy, Hugh Jackman, Robin Williams"
97,This Means War,2012,2012,A,103 min,"Action,Comedy,Romance",6.3,"188,568",$54.76M,31,Director:McG,"Stars:Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger"
98,Rushmore,1998,1998,UA,93 min,"Comedy,Drama,Romance",7.6,"187,750",$17.11M,86,Director:Wes Anderson,"Stars:Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel"
99,The Mask of Zorro,1998,1998,UA,136 min,"Action,Adventure,Comedy",6.8,"187,673",$94.10M,63,Director:Martin Campbell,"Stars:Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, José María de Tavira"
100,City Lights,1931,1931,G,87 min,"Comedy,Drama,Romance",8.5,"186,347",$0.02M,99,Director:Charles Chaplin,"Stars:Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers"
101,About a Boy,2002,2002,U,101 min,"Comedy,Drama,Romance",7.1,"185,985",$41.39M,75,"Directors:Chris Weitz, Paul Weitz","Stars:Hugh Grant, Nicholas Hoult, Toni Collette, Sharon Small"
102,The Apartment,1960,1960,U,125 min,"Comedy,Drama,Romance",8.3,"183,778",$18.60M,94,Director:Billy Wilder,"Stars:Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
103,Breakfast at Tiffany's,1961,1961,A,115 min,"Comedy,Drama,Romance",7.6,"182,796",,76,Director:Blake Edwards,"Stars:Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen"
104,High Fidelity,2000,2000,R,113 min,"Comedy,Drama,Music",7.4,"182,331",$27.29M,79,Director:Stephen Frears,"Stars:John Cusack, Iben Hjejle, Todd Louiso, Jack Black"
105,Sleepless in Seattle,1993,1993,U,105 min,"Comedy,Drama,Romance",6.8,"179,394",$126.53M,72,Director:Nora Ephron,"Stars:Tom Hanks, Meg Ryan, Ross Malinger, Rita Wilson"
106,What Happens in Vegas,2008,2008,UA,99 min,"Comedy,Romance",6.1,"178,961",$80.28M,36,Director:Tom Vaughan,"Stars:Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell"
107,Zack and Miri Make a Porno,2008,2008,A,101 min,"Comedy,Romance",6.5,"178,933",$31.46M,56,Director:Kevin Smith,"Stars:Seth Rogen, Elizabeth Banks, Craig Robinson, Gerry Bednob"
108,He's Just Not That Into You,2009,2009,13,129 min,"Comedy,Drama,Romance",6.4,"175,578",$93.95M,47,Director:Ken Kwapis,"Stars:Ginnifer Goodwin, Jennifer Aniston, Jennifer Connelly, Morgan Lily"
109,That '70s Show,1998,2006,18,22 min,"Comedy,Drama,Romance",8.1,"175,501",,,,"Stars:Topher Grace, Laura Prepon, Mila Kunis, Danny Masterson"
110,Crazy Rich Asians,2018,2018,UA,120 min,"Comedy,Drama,Romance",6.9,"175,426",$174.53M,74,Director:Jon M. Chu,"Stars:Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan"
111,Laal Singh Chaddha,2022,2022,UA,159 min,"Comedy,Drama,Romance",5.5,"173,819",,46,Director:Advait Chandan,"Stars:Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf"
112,Puss in Boots,2011,2011,U,90 min,"Animation,Adventure,Comedy",6.6,"168,026",$149.26M,65,Director:Chris Miller,"Stars:Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton"
113,"Definitely, Maybe",2008,2008,UA,112 min,"Comedy,Drama,Romance",7.1,"167,641",$31.97M,59,Director:Adam Brooks,"Stars:Ryan Reynolds, Rachel Weisz, Abigail Breslin, An Nguyen"
114,Punch-Drunk Love,2002,2002,R,95 min,"Comedy,Drama,Romance",7.3,"167,578",$17.84M,78,Director:Paul Thomas Anderson,"Stars:Adam Sandler, Emily Watson, Philip Seymour Hoffman, Jason Andrews"
115,27 Dresses,2008,2008,UA,111 min,"Comedy,Romance",6.1,"166,822",$76.81M,47,Director:Anne Fletcher,"Stars:Katherine Heigl, James Marsden, Malin Akerman, Brian Kerwin"
116,Date Night,2010,2010,A,88 min,"Comedy,Crime,Romance",6.3,"164,808",$98.71M,56,Director:Shawn Levy,"Stars:Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson"
117,Castle,2009,2016,A,43 min,"Comedy,Crime,Drama",8.1,"164,200",,,,"Stars:Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas"
118,The Good Place,2016,2020,13+,22 min,"Comedy,Drama,Fantasy",8.2,"163,864",,,,"Stars:Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden"
119,Palm Springs,2020,2020,A,90 min,"Comedy,Fantasy,Mystery",7.4,"162,560",,83,Director:Max Barbakow,"Stars:Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher"
120,Adventureland,2009,2009,UA,107 min,"Comedy,Drama,Romance",6.8,"162,527",$16.03M,76,Director:Greg Mottola,"Stars:Jesse Eisenberg, Kristen Stewart, Ryan Reynolds, Martin Starr"
121,She's the Man,2006,2006,U,105 min,"Comedy,Romance,Sport",6.3,"162,363",$2.34M,45,Director:Andy Fickman,"Stars:Amanda Bynes, Laura Ramsey, Channing Tatum, Vinnie Jones"
122,Bones,2005,2017,15+,40 min,"Comedy,Crime,Drama",7.8,"162,171",,,,"Stars:Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne"
123,Begin Again,2013,2013,A,104 min,"Comedy,Drama,Music",7.4,"158,652",$16.17M,62,Director:John Carney,"Stars:Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld"
124,Yesterday,2019,2019,UA,116 min,"Comedy,Fantasy,Music",6.8,"155,858",$73.29M,55,Director:Danny Boyle,"Stars:Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell"
