,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
125,Four Weddings and a Funeral,1994,1994,A,117 min,"Comedy,Drama,Romance",7.1,"155,835",$52.70M,81,Director:Mike Newell,"Stars:Hugh Grant, Andie MacDowell, James Fleet, Simon Callow"
126,The Wedding Singer,1998,1998,PG-13,97 min,"Comedy,Music,Romance",6.9,"153,032",$80.25M,59,Director:Frank Coraci,"Stars:Adam Sandler, Drew Barrymore, Christine Taylor, Allen Covert"
127,The Time Traveler's Wife,2009,2009,A,107 min,"Comedy,Drama,Fantasy",7.1,"152,745",$63.41M,47,Director:Robert Schwentke,"Stars:Eric Bana, Rachel McAdams, Ron Livingston, Michelle Nolden"
128,The Ballad of Buster Scruggs,2018,2018,18,133 min,"Comedy,Drama,Musical",7.3,"150,974",,79,"Directors:Ethan Coen, Joel Coen","Stars:Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy"
129,Robots,2005,2005,U,91 min,"Animation,Adventure,Comedy",6.4,"150,362",$128.20M,64,"Directors:Chris Wedge, Carlos Saldanha","Stars:Ewan McGregor, Halle Berry, Mel Brooks, Robin Williams"
130,The Princess Diaries,2001,2001,U,115 min,"Comedy,Family,Romance",6.4,"149,768",$108.25M,52,Director:Garry Marshall,"Stars:Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo"
131,I Now Pronounce You Chuck & Larry,2007,2007,UA,115 min,"Comedy,Romance",5.9,"149,094",$120.06M,37,Director:Dennis Dugan,"Stars:Adam Sandler, Kevin James, Jessica Biel, Dan Aykroyd"
132,The Princess and the Frog,2009,2009,,97 min,"Animation,Adventure,Comedy",7.1,"148,833",$104.40M,73,"Directors:Ron Clements, John Musker","Stars:Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos"
133,Good Bye Lenin!,2003,2003,R,121 min,"Comedy,Drama,Romance",7.7,"147,598",$4.06M,68,Director:Wolfgang Becker,"Stars:Daniel Brühl, Katrin Sass, Chulpan Khamatova, Florian Lukas"
134,Lars and the Real Girl,2007,2007,PG-13,106 min,"Comedy,Drama,Romance",7.3,"147,508",$5.97M,70,Director:Craig Gillespie,"Stars:Ryan Gosling, Emily Mortimer, Paul Schneider, R.D. Reid"
135,Mr. Deeds,2002,2002,U,96 min,"Comedy,Romance",5.8,"146,347",$126.29M,24,Director:Steven Brill,"Stars:Adam Sandler, Winona Ryder, John Turturro, Allen Covert"
136,This Is Us,2016,2022,16,45 min,"Comedy,Drama,Romance",8.7,"146,015",,,,"Stars:Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz"
137,My Best Friend's Wedding,1997,1997,UA,105 min,"Comedy,Drama,Romance",6.3,"145,328",$127.12M,50,Director:P.J. Hogan,"Stars:Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett"
138,It's Kind of a Funny Story,2010,2010,16,101 min,"Comedy,Drama,Romance",7.1,"144,551",$6.35M,63,"Directors:Anna Boden, Ryan Fleck","Stars:Keir Gilchrist, Zach Galifianakis, Emma Roberts, Dana DeVestern"
139,"Love, Rosie",2014,2014,UA,102 min,"Comedy,Romance",7.1,"143,766",$0.02M,44,Director:Christian Ditter,"Stars:Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone"
140,This Is 40,2012,2012,A,134 min,"Comedy,Drama,Romance",6.2,"143,587",$67.54M,59,Director:Judd Apatow,"Stars:Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow"
141,The Other Woman,2014,2014,A,109 min,"Comedy,Romance",6.0,"143,051",$83.91M,39,Director:Nick Cassavetes,"Stars:Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau"
142,The Invention of Lying,2009,2009,PG-13,100 min,"Comedy,Fantasy,Romance",6.3,"142,950",$18.44M,58,"Directors:Ricky Gervais, Matthew Robinson","Stars:Ricky Gervais, Jennifer Garner, Jonah Hill, Louis C.K."
143,Freaky Friday,2003,2003,U,97 min,"Comedy,Family,Fantasy",6.3,"141,718",$110.23M,70,Director:Mark Waters,"Stars:Jamie Lee Curtis, Lindsay Lohan, Mark Harmon, Harold Gould"
144,Manhattan,1979,1979,,96 min,"Comedy,Drama,Romance",7.9,"141,614",$45.70M,83,Director:Woody Allen,"Stars:Woody Allen, Diane Keaton, Mariel Hemingway, Michael Murphy"
145,The Parent Trap,1998,1998,U,128 min,"Adventure,Comedy,Drama",6.6,"141,302",$66.31M,64,Director:Nancy Meyers,"Stars:Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix"
146,Roman Holiday,1953,1953,U,118 min,"Comedy,Romance",8.0,"140,298",,78,Director:William Wyler,"Stars:Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power"
147,Chasing Amy,1997,1997,R,113 min,"Comedy,Drama,Romance",7.2,"139,626",$12.02M,71,Director:Kevin Smith,"Stars:Ben Affleck, Joey Lauren Adams, Ethan Suplee, Scott Mosier"
148,She's Out of My League,2010,2010,UA 13+,104 min,"Comedy,Romance",6.4,"138,918",$31.58M,46,Director:Jim Field Smith,"Stars:Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel"
149,Lady and the Tramp,1955,1955,G,76 min,"Animation,Adventure,Comedy",7.3,"138,440",$93.60M,78,"Directors:Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Cutting","Stars:Barbara Luddy, Larry Roberts, Peggy Lee, Bill Thompson"
150,Trainwreck,2015,2015,R,125 min,"Comedy,Drama,Romance",6.2,"138,346",$110.21M,75,Director:Judd Apatow,"Stars:Amy Schumer, Bill Hader, Brie Larson, Colin Quinn"
151,Along Came Polly,2004,2004,UA,90 min,"Comedy,Romance",6.0,"138,101",$88.10M,44,Director:John Hamburg,"Stars:Ben Stiller, Jennifer Aniston, Debra Messing, Philip Seymour Hoffman"
152,The Big Sick,2017,2017,UA,120 min,"Comedy,Drama,Romance",7.5,"137,314",$42.87M,86,Director:Michael Showalter,"Stars:Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano"
153,Shallow Hal,2001,2001,UA,114 min,"Comedy,Drama,Fantasy",6.0,"136,159",$70.84M,48,"Directors:Bobby Farrelly, Peter Farrelly","Stars:Jack Black, Gwyneth Paltrow, Jason Alexander, Joe Viterelli"
154,Blended,2014,2014,UA,117 min,"Comedy,Romance",6.5,"134,779",$46.29M,31,Director:Frank Coraci,"Stars:Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon"
155,My Big Fat Greek Wedding,2002,2002,U,95 min,"Comedy,Drama,Romance",6.6,"134,480",$241.44M,62,Director:Joel Zwick,"Stars:Nia Vardalos, John Corbett, Michael Constantine, Christina Eleusiniotis"
156,The Break-Up,2006,2006,UA,106 min,"Comedy,Drama,Romance",5.8,"134,176",$118.70M,45,Director:Peyton Reed,"Stars:Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams"
157,Life as We Know It,2010,2010,UA,115 min,"Comedy,Drama,Romance",6.5,"133,922",$53.37M,39,Director:Greg Berlanti,"Stars:Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett"
158,Bill & Ted's Excellent Adventure,1989,1989,U,90 min,"Adventure,Comedy,Music",6.9,"133,463",$40.49M,50,Director:Stephen Herek,"Stars:Keanu Reeves, Alex Winter, George Carlin, Terry Camilleri"
159,Me and Earl and the Dying Girl,2015,2015,PG-13,105 min,"Comedy,Drama,Romance",7.7,"133,314",$6.74M,74,Director:Alfonso Gomez-Rejon,"Stars:Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman"
160,Hairspray,2007,2007,U,117 min,"Comedy,Drama,Musical",6.7,"132,511",$118.87M,81,Director:Adam Shankman,"Stars:John Travolta, Queen Latifah, Nikki Blonsky, Michelle Pfeiffer"
161,Murder Mystery,2019,2019,12,97 min,"Action,Comedy,Crime",6.0,"131,740",,38,Director:Kyle Newacheck,"Stars:Adam Sandler, Jennifer Aniston, Luke Evans, Terence Stamp"
162,Dil Bechara,2020,2020,12+,101 min,"Comedy,Drama,Romance",8.4,"131,620",,,Director:Mukesh Chhabra,"Stars:Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee"
163,The Kids Are All Right,2010,2010,R,106 min,"Comedy,Drama,Romance",7.0,"131,510",$20.81M,86,Director:Lisa Cholodenko,"Stars:Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska"
164,Desperate Housewives,2004,2012,,45 min,"Comedy,Drama,Mystery",7.6,"130,581",,,,"Stars:Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria"
165,Robin Hood,1973,1973,U,83 min,"Animation,Adventure,Comedy",7.5,"129,756",$32.06M,57,"Directors:Wolfgang Reitherman, David Hand","Stars:Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov"
166,The Bounty Hunter,2010,2010,A,110 min,"Action,Comedy,Romance",5.5,"129,427",$67.06M,22,Director:Andy Tennant,"Stars:Jennifer Aniston, Gerard Butler, Gio Perez, Joel Marsh Garland"
167,Sex and the City,1998,2004,A,30 min,"Comedy,Drama,Romance",7.3,"128,882",,,,"Stars:Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon"
168,Flushed Away,2006,2006,U,85 min,"Animation,Action,Adventure",6.6,"128,789",$64.67M,74,"Directors:David Bowers, Sam Fell","Stars:Hugh Jackman, Kate Winslet, Ian McKellen, Jean Reno"
169,Robin Hood: Men in Tights,1993,1993,U,104 min,"Adventure,Comedy,Musical",6.7,"128,659",$35.74M,44,Director:Mel Brooks,"Stars:Cary Elwes, Richard Lewis, Roger Rees, Amy Yasbeck"
170,Hall Pass,2011,2011,UA,105 min,"Comedy,Romance",5.9,"127,197",$45.06M,45,"Directors:Bobby Farrelly, Peter Farrelly","Stars:Owen Wilson, Jason Sudeikis, Christina Applegate, Jenna Fischer"
171,Safety Not Guaranteed,2012,2012,R,86 min,"Adventure,Comedy,Drama",6.9,"126,875",$4.01M,72,Director:Colin Trevorrow,"Stars:Aubrey Plaza, Mark Duplass, Jake Johnson, Karan Soni"
172,The French Dispatch,2020,2020,A,107 min,"Comedy,Drama,Romance",7.1,"125,519",,74,Director:Wes Anderson,"Stars:Benicio Del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux"
173,The Lost City,2022,2022,UA,112 min,"Action,Adventure,Comedy",6.1,"125,316",,60,"Directors:Aaron Nee, Adam Nee","Stars:Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph"
174,Mallrats,1995,1995,A,94 min,"Comedy,Romance",7.0,"124,396",$2.12M,41,Director:Kevin Smith,"Stars:Shannen Doherty, Jeremy London, Jason Lee, Claire Forlani"
175,Swiss Army Man,2016,2016,R,97 min,"Comedy,Drama,Fantasy",6.9,"124,119",$4.21M,64,"Directors:Dan Kwan, Daniel Scheinert","Stars:Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero"
176,Something's Gotta Give,2003,2003,PG-13,128 min,"Comedy,Drama,Romance",6.7,"123,584",$124.73M,66,Director:Nancy Meyers,"Stars:Jack Nicholson, Diane Keaton, Keanu Reeves, Amanda Peet"
177,Sex and the City,2008,2008,UA,145 min,"Comedy,Drama,Romance",5.7,"123,365",$152.65M,53,Director:Michael Patrick King,"Stars:Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis"
178,Valentine's Day,2010,2010,U,125 min,"Comedy,Romance",5.7,"121,046",$110.49M,34,Director:Garry Marshall,"Stars:Julia Roberts, Jamie Foxx, Anne Hathaway, Jessica Alba"
179,Just Friends,2005,2005,UA,96 min,"Comedy,Romance",6.2,"120,837",$32.62M,47,Director:Roger Kumble,"Stars:Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein"
180,Two Weeks Notice,2002,2002,UA,101 min,"Comedy,Romance",6.1,"120,289",$93.35M,42,Director:Marc Lawrence,"Stars:Sandra Bullock, Hugh Grant, Alicia Witt, Dana Ivey"
181,Licorice Pizza,2021,2021,A,133 min,"Comedy,Drama,Romance",7.2,"119,538",,90,Director:Paul Thomas Anderson,"Stars:Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits"
182,The Nutty Professor,1996,1996,A,95 min,"Comedy,Romance,Sci-Fi",5.7,"118,836",$128.81M,62,Director:Tom Shadyac,"Stars:Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller"
183,Sixteen Candles,1984,1984,U,93 min,"Comedy,Romance",7.0,"118,371",$23.69M,61,Director:John Hughes,"Stars:Molly Ringwald, Anthony Michael Hall, Justin Henry, Michael Schoeffling"
184,"Love, Simon",2018,2018,A,110 min,"Comedy,Drama,Romance",7.5,"116,920",$40.83M,72,Director:Greg Berlanti,"Stars:Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford"
185,Coyote Ugly,2000,2000,UA,100 min,"Comedy,Drama,Music",5.7,"116,631",$60.79M,27,Director:David McNally,"Stars:Piper Perabo, Adam Garcia, John Goodman, Maria Bello"
186,Sweet Home Alabama,2002,2002,U,108 min,"Comedy,Romance",6.2,"115,835",$127.22M,45,Director:Andy Tennant,"Stars:Reese Witherspoon, Patrick Dempsey, Josh Lucas, Candice Bergen"
187,Bridget Jones: The Edge of Reason,2004,2004,UA,108 min,"Comedy,Drama,Romance",6.0,"115,799",$40.23M,44,Director:Beeban Kidron,"Stars:Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones"
188,Patch Adams,1998,1998,U,115 min,"Biography,Comedy,Drama",6.8,"115,710",$135.03M,25,Director:Tom Shadyac,"Stars:Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman"
189,Seeking a Friend for the End of the World,2012,2012,R,101 min,"Adventure,Comedy,Drama",6.7,"115,654",$6.62M,59,Director:Lorene Scafaria,"Stars:Steve Carell, Keira Knightley, Melanie Lynskey, Patton Oswalt"
190,Serendipity,2001,2001,U,90 min,"Comedy,Romance",6.8,"115,432",$50.29M,52,Director:Peter Chelsom,"Stars:John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan"
191,Little Fockers,2010,2010,A,98 min,"Comedy,Romance",5.5,"114,460",$148.38M,27,Director:Paul Weitz,"Stars:Ben Stiller, Teri Polo, Robert De Niro, Owen Wilson"
192,Sex Tape,2014,2014,A,94 min,"Comedy,Romance",5.1,"113,901",$38.54M,36,Director:Jake Kasdan,"Stars:Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper"
193,The Family Man,2000,2000,PG-13,125 min,"Comedy,Drama,Fantasy",6.8,"112,979",$75.79M,42,Director:Brett Ratner,"Stars:Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven"
194,Long Shot,2019,2019,A,125 min,"Comedy,Romance",6.8,"112,947",$30.32M,67,Director:Jonathan Levine,"Stars:Charlize Theron, Seth Rogen, June Diane Raphael, O'Shea Jackson Jr."
195,The Gold Rush,1925,1925,,95 min,"Adventure,Comedy,Drama",8.1,"112,750",$5.45M,,Director:Charles Chaplin,"Stars:Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman"
196,Just Like Heaven,2005,2005,U,95 min,"Comedy,Drama,Fantasy",6.7,"112,243",$48.32M,47,Director:Mark Waters,"Stars:Reese Witherspoon, Mark Ruffalo, Donal Logue, Dina Spybey-Waters"
197,Bend It Like Beckham,2002,2002,U,112 min,"Comedy,Drama,Romance",6.7,"112,088",$32.54M,66,Director:Gurinder Chadha,"Stars:Parminder Nagra, Keira Knightley, Jonathan Rhys Meyers, Anupam Kher"
198,Driving Miss Daisy,1989,1989,U,99 min,"Comedy,Drama,Romance",7.3,"111,610",$106.59M,81,Director:Bruce Beresford,"Stars:Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone"
199,National Lampoon's Van Wilder,2002,2002,A,92 min,"Comedy,Romance",6.4,"111,371",$21.01M,26,Director:Walt Becker,"Stars:Ryan Reynolds, Tara Reid, Tim Matheson, Kal Penn"
200,To All the Boys I've Loved Before,2018,2018,13,99 min,"Comedy,Drama,Romance",7.0,"110,551",,64,Director:Susan Johnson,"Stars:Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart"
201,The Mexican,2001,2001,R,123 min,"Adventure,Comedy,Crime",6.1,"109,623",$66.81M,43,Director:Gore Verbinski,"Stars:Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons"
202,Bride Wars,2009,2009,UA,89 min,"Comedy,Romance",5.4,"109,418",$58.72M,24,Director:Gary Winick,"Stars:Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg"
203,Tootsie,1982,1982,U,116 min,"Comedy,Drama,Romance",7.4,"108,789",$177.20M,88,Director:Sydney Pollack,"Stars:Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman"
204,The Switch,2010,2010,UA,101 min,"Comedy,Drama,Romance",6.1,"107,613",$27.76M,52,"Directors:Josh Gordon, Will Speck","Stars:Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum"
205,Scrooged,1988,1988,UA,101 min,"Comedy,Drama,Fantasy",6.9,"107,488",$60.33M,38,Director:Richard Donner,"Stars:Bill Murray, Karen Allen, John Forsythe, John Glover"
206,Leap Year,2010,2010,UA,100 min,"Comedy,Romance",6.4,"106,125",$25.92M,33,Director:Anand Tucker,"Stars:Amy Adams, Matthew Goode, Adam Scott, John Lithgow"
207,While You Were Sleeping,1995,1995,U,103 min,"Comedy,Drama,Romance",6.8,"106,102",$81.06M,67,Director:Jon Turteltaub,"Stars:Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle"
208,Inherent Vice,2014,2014,R,148 min,"Comedy,Crime,Drama",6.6,"106,094",$8.11M,81,Director:Paul Thomas Anderson,"Stars:Joaquin Phoenix, Josh Brolin, Owen Wilson, Katherine Waterston"
209,It Happened One Night,1934,1934,,105 min,"Comedy,Romance",8.1,"105,456",$4.36M,87,Director:Frank Capra,"Stars:Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"
210,That Awkward Moment,2014,2014,R,94 min,"Comedy,Romance",6.1,"104,500",$26.05M,36,Director:Tom Gormican,"Stars:Zac Efron, Michael B. Jordan, Miles Teller, Imogen Poots"
211,Paper Towns,2015,2015,PG-13,109 min,"Adventure,Comedy,Drama",6.2,"104,263",$32.00M,56,Director:Jake Schreier,"Stars:Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith"
212,Music and Lyrics,2007,2007,PG-13,104 min,"Comedy,Music,Romance",6.5,"104,239",$50.57M,59,Director:Marc Lawrence,"Stars:Hugh Grant, Drew Barrymore, Scott Porter, Nick Bacon"
213,Dan in Real Life,2007,2007,U,98 min,"Comedy,Drama,Romance",6.8,"104,040",$47.64M,65,Director:Peter Hedges,"Stars:Steve Carell, Juliette Binoche, Dane Cook, Alison Pill"
214,Broken Flowers,2005,2005,UA,106 min,"Comedy,Drama,Mystery",7.2,"103,919",$13.74M,79,Director:Jim Jarmusch,"Stars:Bill Murray, Jessica Lange, Sharon Stone, Julie Delpy"
215,Misfits,2009,2013,UA,60 min,"Comedy,Drama,Fantasy",8.2,"102,448",,,,"Stars:Nathan Stewart-Jarrett, Joe Gilgun, Iwan Rheon, Lauren Socha"
216,Only Lovers Left Alive,2013,2013,R,123 min,"Comedy,Drama,Fantasy",7.2,"102,424",$1.88M,79,Director:Jim Jarmusch,"Stars:Tilda Swinton, Tom Hiddleston, Mia Wasikowska, John Hurt"
217,Ruby Sparks,2012,2012,R,104 min,"Comedy,Drama,Fantasy",7.2,"102,240",$2.54M,67,"Directors:Jonathan Dayton, Valerie Faris","Stars:Paul Dano, Zoe Kazan, Annette Bening, Antonio Banderas"
218,Your Highness,2011,2011,R,102 min,"Action,Adventure,Comedy",5.5,"102,017",$21.60M,31,Director:David Gordon Green,"Stars:Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker"
219,Letters to Juliet,2010,2010,U,105 min,"Adventure,Comedy,Drama",6.5,"101,801",$53.03M,50,Director:Gary Winick,"Stars:Amanda Seyfried, Gael García Bernal, Vanessa Redgrave, Marcia DeBonis"
220,Emily in Paris,2020,2020,16,30 min,"Comedy,Drama,Romance",6.9,"100,671",,,,"Stars:Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Samuel Arnold"
221,Runaway Bride,1999,1999,PG,116 min,"Comedy,Romance",5.6,"100,093",$152.26M,39,Director:Garry Marshall,"Stars:Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo"
222,The Five-Year Engagement,2012,2012,UA,124 min,"Comedy,Drama,Romance",6.2,"99,681",$28.84M,62,Director:Nicholas Stoller,"Stars:Jason Segel, Emily Blunt, Chris Pratt, Alison Brie"
223,Intolerable Cruelty,2003,2003,PG-13,100 min,"Comedy,Crime,Romance",6.3,"98,710",$35.33M,71,"Directors:Joel Coen, Ethan Coen","Stars:George Clooney, Catherine Zeta-Jones, Billy Bob Thornton, Geoffrey Rush"
224,Election,1999,1999,UA,103 min,"Comedy,Romance",7.3,"98,612",$14.88M,83,Director:Alexander Payne,"Stars:Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell"
225,Bring It On,2000,2000,PG-13,98 min,"Comedy,Romance,Sport",6.1,"98,410",$68.38M,52,Director:Peyton Reed,"Stars:Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union"
226,She's All That,1999,1999,UA,95 min,"Comedy,Romance",5.9,"97,896",$63.37M,51,Director:Robert Iscove,"Stars:Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker"
227,Mamma Mia! Here We Go Again,2018,2018,UA,114 min,"Comedy,Musical,Romance",6.6,"97,701",$120.63M,60,Director:Ol Parker,"Stars:Lily James, Amanda Seyfried, Meryl Streep, Cher"
228,I Love You Phillip Morris,2009,2009,R,102 min,"Biography,Comedy,Crime",6.6,"96,939",$2.04M,65,"Directors:Glenn Ficarra, John Requa","Stars:Jim Carrey, Ewan McGregor, Leslie Mann, Rodrigo Santoro"
229,A Good Year,2006,2006,UA,117 min,"Comedy,Drama,Romance",6.9,"96,919",$7.46M,47,Director:Ridley Scott,"Stars:Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard"
230,Bedtime Stories,2008,2008,U,99 min,"Adventure,Comedy,Family",6.0,"96,737",$110.10M,33,Director:Adam Shankman,"Stars:Adam Sandler, Keri Russell, Courteney Cox, Guy Pearce"
231,The Best Exotic Marigold Hotel,2011,2011,UA,124 min,"Comedy,Drama,Romance",7.2,"96,516",$46.41M,62,Director:John Madden,"Stars:Judi Dench, Bill Nighy, Maggie Smith, Tom Wilkinson"
232,Romancing the Stone,1984,1984,U,106 min,"Action,Adventure,Comedy",6.9,"96,414",$76.57M,63,Director:Robert Zemeckis,"Stars:Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman"
233,The Duff,2015,2015,UA,101 min,"Comedy,Romance",6.4,"96,252",$34.02M,56,Director:Ari Sandel,"Stars:Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney"
234,Grosse Pointe Blank,1997,1997,U,107 min,"Action,Comedy,Crime",7.3,"95,853",$28.01M,76,Director:George Armitage,"Stars:John Cusack, Minnie Driver, Dan Aykroyd, Joan Cusack"
235,Sing Street,2016,2016,PG-13,106 min,"Comedy,Drama,Music",7.9,"95,609",$3.24M,79,Director:John Carney,"Stars:Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor"
236,Out of Sight,1998,1998,UA,123 min,"Comedy,Crime,Drama",7.0,"94,421",$37.56M,85,Director:Steven Soderbergh,"Stars:George Clooney, Jennifer Lopez, Ving Rhames, Steve Zahn"
237,Leyla ile Mecnun,2011,2023,,80 min,"Adventure,Comedy,Drama",9.1,"94,276",,,,"Stars:Ali Atay, Serkan Keskin, Osman Sonant, Ahmet Mümtaz Taylan"
238,It's Complicated,2009,2009,A,121 min,"Comedy,Drama,Romance",6.5,"94,136",$112.74M,57,Director:Nancy Meyers,"Stars:Meryl Streep, Steve Martin, Alec Baldwin, John Krasinski"
239,Risky Business,1983,1983,A,99 min,"Comedy,Crime,Drama",6.8,"93,532",$63.50M,75,Director:Paul Brickman,"Stars:Tom Cruise, Rebecca De Mornay, Joe Pantoliano, Richard Masur"
240,Nick and Norah's Infinite Playlist,2008,2008,PG-13,90 min,"Comedy,Drama,Music",6.6,"93,368",$31.49M,64,Director:Peter Sollett,"Stars:Michael Cera, Kat Dennings, Aaron Yoo, Rafi Gavron"
241,Secretary,2002,2002,A,107 min,"Comedy,Drama,Romance",6.9,"93,110",$4.06M,63,Director:Steven Shainberg,"Stars:James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren"
242,The Heartbreak Kid,2007,2007,UA,116 min,"Comedy,Romance",5.8,"93,062",$36.79M,46,"Directors:Bobby Farrelly, Peter Farrelly","Stars:Ben Stiller, Michelle Monaghan, Malin Akerman, Jerry Stiller"
243,Beginners,2010,2010,R,105 min,"Comedy,Drama,Romance",7.2,"92,908",$5.79M,81,Director:Mike Mills,"Stars:Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Visnjic"
244,Killers,2010,2010,PG-13,100 min,"Action,Comedy,Romance",5.4,"92,894",$47.06M,21,Director:Robert Luketic,"Stars:Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara"
245,Never Been Kissed,1999,1999,UA,107 min,"Comedy,Drama,Romance",6.0,"92,385",$55.47M,60,Director:Raja Gosnell,"Stars:Drew Barrymore, David Arquette, Michael Vartan, Molly Shannon"
246,Submarine,2010,2010,R,97 min,"Comedy,Drama,Romance",7.3,"92,090",$0.47M,76,Director:Richard Ayoade,"Stars:Craig Roberts, Sally Hawkins, Paddy Considine, Noah Taylor"
247,Say Anything...,1989,1989,U,100 min,"Comedy,Drama,Romance",7.3,"91,806",$20.78M,85,Director:Cameron Crowe,"Stars:John Cusack, Ione Skye, John Mahoney, Lili Taylor"
